time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.409242104889153e-08,1.9056134819672657e-08,10.004154647577327,2.2743384763046492e-05,6.283002905221542,0.0,1.2072058759831601e-05,1.871436971587036e-06,0.13848075948537011,0.0011266584800928522,-0.009944652029079116,0.0,449.4075604371695,448.6009786497711,448.8367107070836,448.92811351104694
0.12000000000000001,6.819011670595634e-06,1.1823911267757364e-06,10.015074056955191,0.0004057166258322198,6.282093972202066,0.0,0.0002845951758876066,6.111395219362184e-05,0.22548568288233128,0.015236617497713274,-0.028392816044976846,0.0,432.87137734740315,431.31647389175953,432.8851020115166,434.07052387133433
0.18,5.4651206332244465e-05,1.7369396460723635e-05,10.032826037438666,0.000996023493389231,6.279989206991893,0.0,0.0015096567348085801,0.000563061400139595,0.36621131242144916,-0.004061582925675164,-0.05384860171935923,0.0,450.7003608051778,448.63792710431915,450.52670313454263,448.9638351840824
0.23999999999999996,0.0002280938148499554,7.220281803021488e-05,10.058957940507996,0.0002451964309226895,6.276624544917844,0.0,0.004626363968029868,0.0012229937213378696,0.5047990083130551,-0.0404531613162953,-0.060954781420418575,0.0,450.00504100256927,449.4274221875984,450.0407239237183,447.0859131235373
0.3,0.0006659480512778896,0.00014099073355389362,10.09377268398154,6.280913871032666,6.2732357066881335,0.0,0.010352764272048653,0.0007993984654101403,0.6556143795612948,-0.04510474529811384,-0.04877245238229269,0.0,452.66409999458335,453.64106685438946,453.09884470211205,452.7238652166422
0.36000000000000004,0.0014844329381442695,0.0001371552489342732,10.134257387714179,6.278546476346921,6.270293426560288,0.0,0.01720229760649197,-0.0011609941552159003,0.6938492705248975,-0.030051324883388335,-0.0495742727973626,0.0,417.726142773935,417.6545661650398,416.27487925413527,417.58892889218174
0.4200000000000001,0.002795725533420603,-3.583086692879583e-05,10.178992103460287,6.276586516153952,6.266978867812014,0.0,0.026825276037965935,-0.00479711136659506,0.797235462209537,-0.03848726922209379,-0.07007666679458999,0.0,439.1820336702908,437.4761930559089,439.03781658926766,438.3369910322982
0.48000000000000015,0.0047034536810701,-0.00044706587524659294,10.226720331979267,6.274070880471076,6.2626530696067135,0.0,0.03713506678084458,-0.009118853405822297,0.7936997298653186,-0.04988821539211817,-0.07647539533682997,0.0,403.6173817226422,403.03493499454885,404.0179227602807,402.9876379229973
0.5400000000000001,0.007473241079104536,-0.0012390351778739735,10.282013525336604,6.271140368282676,6.258045748593208,0.0,0.055761682911441124,-0.017648267519287917,1.0491906044601746,-0.04682791279189114,-0.07742236325220472,0.0,484.34281020282685,484.2674559028929,484.51455094949034,484.7432851395574
0.6000000000000002,0.01143211642846472,-0.0025945321086858473,10.350907597607122,6.268277449785341,6.253828843657509,0.0,0.07670846920420088,-0.02786265059218385,1.2470647804458959,-0.049551308100317125,-0.058874156305177984,0.0,467.8657965469599,469.3038843890489,467.7949789614053,467.58162816348204
0.6600000000000003,0.01648770695870497,-0.004499805845759742,10.423174666454925,6.264994051866491,6.250593932012642,0.0,0.09206502237967039,-0.03587905674477287,1.1619166579095563,-0.06785371473304214,-0.04549299292756237,0.0,374.42032232292297,375.7171914677324,376.49218213215073,374.71459449013395
0.7200000000000003,0.022687134635528093,-0.00703922030604159,10.495634630720902,6.260647230246189,6.247837015814737,0.0,0.11485530278157235,-0.049187936410929514,1.2533005061928923,-0.08372752890250358,-0.04687545717058732,0.0,435.74220593041235,435.62534494215305,436.36165793124724,435.03036186032307
0.7800000000000004,0.030422309034862913,-0.01054205302183719,10.576687752245153,6.2559233143391175,6.2448691745369445,0.0,0.1433099103178528,-0.06813136555939096,1.4482155688176006,-0.07025810268040625,-0.055219399072781825,0.0,468.77643147268327,468.1262655409734,466.6691711547769,467.7145566194956
0.8400000000000004,0.03986496460915509,-0.015237839303926394,10.667604975539504,6.25198947250944,6.241926057774478,0.0,0.1717701559206728,-0.08882419217509303,1.5821540283987607,-0.05753010706612356,-0.03893161443224277,0.0,449.5128179639935,450.82912624893953,449.0746876256534,450.10265435220623
0.9000000000000005,0.051020323123494124,-0.02121572435581064,10.765236999509492,6.248584964462607,6.239122662975635,0.0,0.20031865919587694,-0.11077886208217984,1.6720940995414608,-0.05521066160731485,-0.07071984901944887,0.0,437.28557343487626,434.6280223399077,436.94498455198135,437.13602680620113
0.9600000000000005,0.06419308993757902,-0.028768368503244657,10.8736156641073,6.245219931628604,6.234400283444696,0.0,0.23931102918748176,-0.14138392229368768,1.9400657628951015,-0.05788940007484628,-0.1037655867954427,0.0,491.7969656025375,489.33857485868543,490.2406154014831,490.03973221620873
1.0200000000000005,0.07972812575115398,-0.03816108557877521,10.995906981938518,6.241759796854412,6.228486618968681,0.0,0.2792085252083204,-0.17209474004210934,2.1359063885896203,-0.05723172659326751,-0.0897875925921954,0.0,469.72329668889074,470.79810169658407,470.49950188966125,470.54831823985626
1.0800000000000005,0.09781666465859182,-0.04949603290247041,11.130384145131973,6.238567256041364,6.223771240724771,0.0,0.3243086832614925,-0.2061091609252225,2.346197367915367,-0.046183571187819746,-0.06243827752516099,0.0,475.37678242763116,477.4629601963679,474.14048187339364,474.9867761892602
1.1400000000000006,0.11853686348381412,-0.06280969444054306,11.274467644092658,6.236117894098015,6.220144907348999,0.0,0.3667296002918837,-0.23793680135299175,2.4563091629452836,-0.03182231440852756,-0.056714803462962884,0.0,446.2129423775894,446.6773371359682,445.17938576137425,446.3519910389562
